experiment_name,sigma,noise,eps,top_1_acc_train,top_1_acc_cert,top_1_acc_pred
cifar_laplace_05,0.5,LaplaceNoise,0.061224489795918366,0.8235400000000003,0.6135,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.09183673469387754,0.8235400000000003,0.5963,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.12244897959183673,0.8235400000000003,0.58,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.15306122448979592,0.8235400000000003,0.5667,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.18367346938775508,0.8235400000000003,0.5513,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.21428571428571427,0.8235400000000003,0.5362,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.24489795918367346,0.8235400000000003,0.5233,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.2755102040816326,0.8235400000000003,0.5102,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.30612244897959184,0.8235400000000003,0.498,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.336734693877551,0.8235400000000003,0.4861,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.36734693877551017,0.8235400000000003,0.4722,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.3979591836734694,0.8235400000000003,0.4605,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.42857142857142855,0.8235400000000003,0.4476,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.45918367346938777,0.8235400000000003,0.4355,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.4897959183673469,0.8235400000000003,0.4241,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.5204081632653061,0.8235400000000003,0.415,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.5510204081632653,0.8235400000000003,0.4038,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.5816326530612245,0.8235400000000003,0.3939,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.6122448979591837,0.8235400000000003,0.3847,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.6428571428571428,0.8235400000000003,0.3753,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.673469387755102,0.8235400000000003,0.3655,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.7040816326530612,0.8235400000000003,0.3588,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.7346938775510203,0.8235400000000003,0.3518,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.7653061224489796,0.8235400000000003,0.3429,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.7959183673469388,0.8235400000000003,0.3342,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.826530612244898,0.8235400000000003,0.324,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.8571428571428571,0.8235400000000003,0.3149,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.8877551020408163,0.8235400000000003,0.3071,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.9183673469387755,0.8235400000000003,0.2992,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.9489795918367346,0.8235400000000003,0.2884,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.9795918367346939,0.8235400000000003,0.2838,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.010204081632653,0.8235400000000003,0.275,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.0408163265306123,0.8235400000000003,0.2683,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.0714285714285714,0.8235400000000003,0.2608,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.1020408163265305,0.8235400000000003,0.2534,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.1326530612244898,0.8235400000000003,0.246,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.163265306122449,0.8235400000000003,0.2416,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.193877551020408,0.8235400000000003,0.2355,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.2244897959183674,0.8235400000000003,0.2255,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.2551020408163265,0.8235400000000003,0.2204,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.2857142857142856,0.8235400000000003,0.2171,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.316326530612245,0.8235400000000003,0.2091,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.346938775510204,0.8235400000000003,0.2012,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.3775510204081631,0.8235400000000003,0.1971,0.7272
